0.00.315.731 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.318.358 I srv    load_model: loading model '/home/quinna/models/Ornith-1.0-35B-GGUF/ornith-1.0-35b-Q4_K_M.gguf'
0.12.069.506 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 131072, kv_unified = 'true'
0.12.086.387 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.12.086.426 I srv  llama_server: model loaded
0.12.086.430 I srv  llama_server: listening on http://127.0.0.1:8091
1.52.437.259 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
1.52.439.318 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
1.54.618.619 I slot print_timing: id  3 | task 0 | prompt eval time =    1610.64 ms /  2694 tokens (    0.60 ms per token,  1672.63 tokens per second)
1.54.618.622 I slot print_timing: id  3 | task 0 |        eval time =     568.48 ms /    46 tokens (   12.36 ms per token,    80.92 tokens per second)
1.54.618.622 I slot print_timing: id  3 | task 0 |       total time =    2179.11 ms /  2740 tokens
1.54.618.625 I slot print_timing: id  3 | task 0 |    graphs reused =         45
1.54.618.806 I slot      release: id  3 | task 0 | stop processing: n_tokens = 2739, truncated = 0
1.54.639.769 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.962 (> 0.100 thold), f_keep = 0.983
1.54.640.112 I slot launch_slot_: id  3 | task 50 | processing task, is_child = 0
1.57.039.751 I slot print_timing: id  3 | task 50 | prompt eval time =     812.10 ms /  1547 tokens (    0.52 ms per token,  1904.93 tokens per second)
1.57.039.754 I slot print_timing: id  3 | task 50 |        eval time =    1587.35 ms /   128 tokens (   12.40 ms per token,    80.64 tokens per second)
1.57.039.755 I slot print_timing: id  3 | task 50 |       total time =    2399.45 ms /  1675 tokens
1.57.039.756 I slot print_timing: id  3 | task 50 |    graphs reused =        170
1.57.039.899 I slot      release: id  3 | task 50 | stop processing: n_tokens = 2926, truncated = 0
1.57.086.444 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.321 (> 0.100 thold), f_keep = 0.956
1.57.086.878 I slot launch_slot_: id  3 | task 182 | processing task, is_child = 0
2.01.904.273 I slot print_timing: id  3 | task 182 | prompt eval time =    3073.45 ms /  5982 tokens (    0.51 ms per token,  1946.35 tokens per second)
2.01.904.276 I slot print_timing: id  3 | task 182 |        eval time =    1743.76 ms /   135 tokens (   12.92 ms per token,    77.42 tokens per second)
2.01.904.277 I slot print_timing: id  3 | task 182 |       total time =    4817.21 ms /  6117 tokens
2.01.904.278 I slot print_timing: id  3 | task 182 |    graphs reused =        303
2.01.904.578 I slot      release: id  3 | task 182 | stop processing: n_tokens = 8838, truncated = 0
2.01.964.561 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.638 (> 0.100 thold), f_keep = 0.985
2.01.964.874 I slot launch_slot_: id  3 | task 323 | processing task, is_child = 0
2.05.887.383 I slot print_timing: id  3 | task 323 | prompt processing, n_tokens =   7953, progress = 0.80, t =   3.92 s / 2027.63 tokens per second
2.06.945.927 I slot print_timing: id  3 | task 323 | prompt processing, n_tokens =  10001, progress = 0.95, t =   4.98 s / 2007.89 tokens per second
2.07.152.199 I slot print_timing: id  3 | task 323 | prompt processing, n_tokens =  10212, progress = 0.96, t =   5.19 s / 1968.72 tokens per second
2.07.381.143 I slot print_timing: id  3 | task 323 | prompt processing, n_tokens =  10724, progress = 1.00, t =   5.42 s / 1980.03 tokens per second
2.08.854.782 I slot print_timing: id  3 | task 323 | prompt eval time =    5545.84 ms / 10728 tokens (    0.52 ms per token,  1934.42 tokens per second)
2.08.854.785 I slot print_timing: id  3 | task 323 |        eval time =    1343.88 ms /   101 tokens (   13.31 ms per token,    75.16 tokens per second)
2.08.854.785 I slot print_timing: id  3 | task 323 |       total time =    6889.72 ms / 10829 tokens
2.08.854.786 I slot print_timing: id  3 | task 323 |    graphs reused =        402
2.08.855.181 I slot      release: id  3 | task 323 | stop processing: n_tokens = 13739, truncated = 0
2.08.918.736 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.839 (> 0.100 thold), f_keep = 0.993
2.08.919.148 I slot launch_slot_: id  3 | task 432 | processing task, is_child = 0
2.12.453.936 I slot print_timing: id  3 | task 432 | prompt processing, n_tokens =   6932, progress = 0.97, t =   3.53 s / 1961.20 tokens per second
2.12.729.199 I slot print_timing: id  3 | task 432 | prompt processing, n_tokens =   7444, progress = 1.00, t =   3.81 s / 1953.89 tokens per second
2.14.649.697 I slot print_timing: id  3 | task 432 | prompt eval time =    3939.89 ms /  7448 tokens (    0.53 ms per token,  1890.41 tokens per second)
2.14.649.700 I slot print_timing: id  3 | task 432 |        eval time =    1790.45 ms /   132 tokens (   13.56 ms per token,    73.72 tokens per second)
2.14.649.701 I slot print_timing: id  3 | task 432 |       total time =    5730.33 ms /  7580 tokens
2.14.649.702 I slot print_timing: id  3 | task 432 |    graphs reused =        531
2.14.650.159 I slot      release: id  3 | task 432 | stop processing: n_tokens = 16395, truncated = 0
2.14.718.066 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.897 (> 0.100 thold), f_keep = 0.992
2.14.718.393 I slot launch_slot_: id  3 | task 570 | processing task, is_child = 0
2.18.606.341 I slot print_timing: id  3 | task 570 | prompt eval time =    2464.05 ms /  4424 tokens (    0.56 ms per token,  1795.42 tokens per second)
2.18.606.344 I slot print_timing: id  3 | task 570 |        eval time =    1423.69 ms /   104 tokens (   13.69 ms per token,    73.05 tokens per second)
2.18.606.344 I slot print_timing: id  3 | task 570 |       total time =    3887.73 ms /  4528 tokens
2.18.606.345 I slot print_timing: id  3 | task 570 |    graphs reused =        632
2.18.606.820 I slot      release: id  3 | task 570 | stop processing: n_tokens = 18228, truncated = 0
2.18.674.422 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.841 (> 0.100 thold), f_keep = 0.994
2.18.674.762 I slot launch_slot_: id  3 | task 679 | processing task, is_child = 0
2.23.184.591 I slot print_timing: id  3 | task 679 | prompt eval time =    2975.06 ms /  5237 tokens (    0.57 ms per token,  1760.30 tokens per second)
2.23.184.594 I slot print_timing: id  3 | task 679 |        eval time =    1534.55 ms /   110 tokens (   13.95 ms per token,    71.68 tokens per second)
2.23.184.594 I slot print_timing: id  3 | task 679 |       total time =    4509.61 ms /  5347 tokens
2.23.184.595 I slot print_timing: id  3 | task 679 |    graphs reused =        740
2.23.185.117 I slot      release: id  3 | task 679 | stop processing: n_tokens = 21665, truncated = 0
2.23.235.243 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.909 (> 0.100 thold), f_keep = 0.995
2.23.235.584 I slot launch_slot_: id  3 | task 794 | processing task, is_child = 0
2.28.039.889 I slot print_timing: id  3 | task 794 | prompt eval time =    3130.35 ms /  5537 tokens (    0.57 ms per token,  1768.81 tokens per second)
2.28.039.892 I slot print_timing: id  3 | task 794 |        eval time =    1673.74 ms /   118 tokens (   14.18 ms per token,    70.50 tokens per second)
2.28.039.892 I slot print_timing: id  3 | task 794 |       total time =    4804.10 ms /  5655 tokens
2.28.039.893 I slot print_timing: id  3 | task 794 |    graphs reused =        855
2.28.040.493 I slot      release: id  3 | task 794 | stop processing: n_tokens = 23838, truncated = 0
2.28.126.108 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.996 (> 0.100 thold), f_keep = 0.995
2.28.126.613 I slot launch_slot_: id  3 | task 917 | processing task, is_child = 0
2.30.567.010 I slot print_timing: id  3 | task 917 | prompt eval time =    1393.89 ms /  2188 tokens (    0.64 ms per token,  1569.70 tokens per second)
2.30.567.013 I slot print_timing: id  3 | task 917 |        eval time =    1046.29 ms /    74 tokens (   14.14 ms per token,    70.73 tokens per second)
2.30.567.014 I slot print_timing: id  3 | task 917 |       total time =    2440.19 ms /  2262 tokens
2.30.567.015 I slot print_timing: id  3 | task 917 |    graphs reused =        927
2.30.567.624 I slot      release: id  3 | task 917 | stop processing: n_tokens = 23899, truncated = 0
2.30.647.125 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.867 (> 0.100 thold), f_keep = 0.997
2.30.647.486 I slot launch_slot_: id  3 | task 995 | processing task, is_child = 0
2.34.232.945 I slot print_timing: id  3 | task 995 | prompt eval time =    2213.45 ms /  3693 tokens (    0.60 ms per token,  1668.44 tokens per second)
2.34.232.948 I slot print_timing: id  3 | task 995 |        eval time =    1371.79 ms /    95 tokens (   14.44 ms per token,    69.25 tokens per second)
2.34.232.949 I slot print_timing: id  3 | task 995 |       total time =    3585.24 ms /  3788 tokens
2.34.232.950 I slot print_timing: id  3 | task 995 |    graphs reused =       1020
2.34.233.587 I slot      release: id  3 | task 995 | stop processing: n_tokens = 27572, truncated = 0
2.34.294.689 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.959 (> 0.100 thold), f_keep = 0.997
2.34.295.047 I slot launch_slot_: id  3 | task 1095 | processing task, is_child = 0
2.40.112.143 I slot print_timing: id  3 | task 1095 | n_decoded =    206, tg =  68.47 t/s, tg_3s =  68.47 t/s
2.43.116.655 I slot print_timing: id  3 | task 1095 | n_decoded =    411, tg =  68.35 t/s, tg_3s =  68.23 t/s
2.46.122.967 I slot print_timing: id  3 | task 1095 | n_decoded =    616, tg =  68.30 t/s, tg_3s =  68.19 t/s
2.49.127.354 I slot print_timing: id  3 | task 1095 | n_decoded =    821, tg =  68.28 t/s, tg_3s =  68.23 t/s
2.52.130.497 I slot print_timing: id  3 | task 1095 | n_decoded =   1026, tg =  68.28 t/s, tg_3s =  68.26 t/s
